sen_str,swapped_sen_str,leaf_rule
""" Això es podria seguir donant ja que estem parlant d' agrupament de les explotacions lleteres per optimitzar els recursos i per tant , les vaques no desapareixerien pas , simplement es reduiria el nombre de les explotacions existents seguint la dinàmica europea "" , ha explicat Xavier Carré , gerent de SEMEGA , l' organisme depenent de la Diputació de Girona que es va crear fa 31 anys per donar suport a el sector lleter de les comarques gironines .",""" Això es podria seguir donant ja que estem parlant d' agrupament de les explotacions lleteres per optimitzar els recursos i per tant , les vaques no desapareixerien pas , simplement es reduiria el nombre de les explotacions existents seguint la dinàmica europea "" , ha Xavier Carré , gerent de SEMEGA , l' organisme depenent de la Diputació de Girona que es va crear fa 31 anys per donar suport a el sector lleter de les comarques gironines explicat .",[0] -> [1] -> [25]
""" Mai abans s' havia produït una allau de peticions com la que va tenir lloc dimecres passat , amb l' inici de la venda d' entrades de l' homenatge a Cruyff "" , va afirmar un portaveu de la Caixa , que va assegurar : "" El fenomen va superar totes les previsions d' acord que havíem fet amb el mateix club i la Lliga de Futbol Professional "" .",""" Mai abans s' havia produït una allau de peticions com la que va tenir lloc dimecres passat , amb l' inici de la venda d' entrades de l' homenatge a Cruyff "" , va un portaveu de la Caixa , que va assegurar : "" El fenomen va superar totes les previsions d' acord que havíem fet amb el mateix club i la Lliga de Futbol Professional "" afirmar .",[0] -> [1] -> [25]
""" Les dificultats que comporta un acte tan massiu , amb 90.000 assistents , no són gaire diferents de les d' un per a 15.000 persones "" , afirma el director .",""" Les dificultats que comporta un acte tan massiu , amb 90.000 assistents , no són gaire diferents de les d' un per a 15.000 persones "" , el director afirma .",[0] -> [1] -> [25]
""" Tools s' havia convertit en un amic molt estimat per tots nosaltres "" va explicar un de els cirurgians .",""" Tools s' havia convertit en un amic molt estimat per tots nosaltres "" va un de els cirurgians explicar .",[0] -> [1] -> [25]
"La nota qualificava el segrest de "" perfecte exemple de xantatge i d' atemptat contra la seguretat de el país "" , informa France Presse .","La nota qualificava el segrest de "" perfecte exemple de xantatge i d' atemptat contra la seguretat de el país "" , France Presse informa .",[0] -> [1] -> [25]
"' Si volíem que tothom entengués l' evolució de forma fàcil era a través de maquetes ' , ha afegit Nolla .","' Si volíem que tothom entengués l' evolució de forma fàcil era a través de maquetes ' , ha Nolla afegit .",[0] -> [1] -> [25]
""" No sé per què Salamanca no seguirà sent titular de els seus arxius "" , va dir Cabanillas , per qui "" potser hipotèticament pogués plantejar se que també haurien d' estar a Catalunya "" .",""" No sé per què Salamanca no seguirà sent titular de els seus arxius "" , va Cabanillas , per qui "" potser hipotèticament pogués plantejar se que també haurien d' estar a Catalunya "" dir .",[0] -> [1] -> [25]
"Tenim desavinences amb Batasuna , però il·legalitzar un partit no és el que necessita Euskal Herria "" , va afirmar Richard Irazusta , portaveu d' AB .","Tenim desavinences amb Batasuna , però il·legalitzar un partit no és el que necessita Euskal Herria "" , va Richard Irazusta , portaveu d' AB afirmar .",[0] -> [1] -> [25]
"Sé que aquesta notícia ha posat nerviós més d' un espanyolista , per això afirmo que no hi ha res de res "" , va dir el dirigent blanc-i-blau .","Sé que aquesta notícia ha posat nerviós més d' un espanyolista , per això afirmo que no hi ha res de res "" , va el dirigent blanc-i-blau dir .",[0] -> [1] -> [25]
""" El pitjor és que si t' equivoques pots arruïnar el futur d' una veu "" , afegeix aquest fabricant de cantants , que no oculta l' orgull que sent a l' hora d' explicar que alguns alumnes no han abandonat la música tot i haver començat estudis universitaris .",""" El pitjor és que si t' equivoques pots arruïnar el futur d' una veu "" , aquest fabricant de cantants , que no oculta l' orgull que sent a l' hora d' explicar que alguns alumnes no han abandonat la música tot i haver començat estudis universitaris afegeix .",[0] -> [1] -> [25]
"' Recordo a els ciutadans que si han d' agafar el vehicle no beguin alcohol ' , ha dit Pomés , que s' ha preguntat si ' això és treure se la culpa de el damunt o acusar d' irresponsabilitat els ciutadans ' .","' Recordo a els ciutadans que si han d' agafar el vehicle no beguin alcohol ' , ha Pomés , que s' ha preguntat si ' això és treure se la culpa de el damunt o acusar d' irresponsabilitat els ciutadans ' dit .",[0] -> [1] -> [25]
"' A CiU li costa superar la síndrome Arzalluz ' , ha afirmat el president de el PPC , que considera que a Catalunya hi ha un sentiment majoritari que Euskadi ha de tenir de referent Catalunya i no a l' inrevés .","' A CiU li costa superar la síndrome Arzalluz ' , ha el president de el PPC , que considera que a Catalunya hi ha un sentiment majoritari que Euskadi ha de tenir de referent Catalunya i no a l' inrevés afirmat .",[0] -> [1] -> [25]
""" El creixement ara és molt robust a la zona euro i s' està basant de forma creixent en la demanda interna "" , van destacar els ministres i el BCE .",""" El creixement ara és molt robust a la zona euro i s' està basant de forma creixent en la demanda interna "" , van els ministres i el BCE destacar .",[0] -> [1] -> [25]
"' Cal ser una societat innovadora també en el benestar ' ha dit el secretari general d' ERC , que ha demanat mesures per ' posar ordre en els horaris irracionals que impedeixen compaginar la vida laboral i la família ' .","' Cal ser una societat innovadora també en el benestar ' ha el secretari general d' ERC , que ha demanat mesures per ' posar ordre en els horaris irracionals que impedeixen compaginar la vida laboral i la família ' dit .",[0] -> [1] -> [25]
"' En els darrers mesos , els diputats socialistes hem demanat explicacions a els dos governs , en compareixences tant a el Parlament com a el Congrés , sobre el motiu per el qual fins ara els estudis i projectes de el canal i de la presa no inclouen aquest Pla de Restitució que s' ha de fer per llei , sense obtenir cap resposta concreta ' , denuncien la diputada a el Congrés Teresa Cunillera i la diputada a el Parlament Marta Camps .","' En els darrers mesos , els diputats socialistes hem demanat explicacions a els dos governs , en compareixences tant a el Parlament com a el Congrés , sobre el motiu per el qual fins ara els estudis i projectes de el canal i de la presa no inclouen aquest Pla de Restitució que s' ha de fer per llei , sense obtenir cap resposta concreta ' , la diputada a el Congrés Teresa Cunillera i la diputada a el Parlament Marta Camps denuncien .",[0] -> [1] -> [25]
""" Sabem que serà difícil , però estem convençuts que aquest és el millor camí , adaptar nos a els nous costums "" , va explicar en la presentació de la campanya el portaveu de els comerciants , Ignasi Minguillón .",""" Sabem que serà difícil , però estem convençuts que aquest és el millor camí , adaptar nos a els nous costums "" , va el portaveu de els comerciants , Ignasi Minguillón explicar en la presentació de la campanya .",[0] -> [1] -> [25]
"El projecte tindrà "" un cost econòmic important que assumirà la caixa "" , va explicar ahir el director de la fundació de la CES , Fermí Pons , que va insistir que el pla "" demostra l' aposta de l' entitat per mantenir se a el centre "" .","El projecte tindrà "" un cost econòmic important que assumirà la caixa "" , va el director de la fundació de la CES , Fermí Pons , que va insistir que el pla "" demostra l' aposta de l' entitat per mantenir se a el centre "" explicar ahir .",[0] -> [1] -> [25]
"Els mals resultats "" limiten notablement el nombre de titulats en aquests estudis "" , argumenta la conselleria .","Els mals resultats "" limiten notablement el nombre de titulats en aquests estudis "" , la conselleria argumenta .",[0] -> [1] -> [25]
""" Els partits , perquè hi veurem enfrontats el candidat d' aquesta formació amb l' altra i els votants es guiaran per les seves preferències polítiques "" , opina un exrector d' una universitat catalana .",""" Els partits , perquè hi veurem enfrontats el candidat d' aquesta formació amb l' altra i els votants es guiaran per les seves preferències polítiques "" , un exrector d' una universitat catalana opina .",[0] -> [1] -> [25]
"Segons Chirac , els europeus "" tenen el deure d' actuar "" davant "" la barbàrie de les autoritats sèrbies "" , va indicar la seva portaveu , Catherine Colonna .","Segons Chirac , els europeus "" tenen el deure d' actuar "" davant "" la barbàrie de les autoritats sèrbies "" , va la seva portaveu , Catherine Colonna indicar .",[0] -> [1] -> [25]
