sen_str,swapped_sen_str,leaf_rule
"Ef allir leggjast á árarnar þá erum við að gera góða hluti , segir Marzelíus Sveinbjörnsson oddviti Framsóknarflokks í Ísafjarðarbæ .","Ef allir leggjast á árarnar þá erum við að gera góða hluti , Marzelíus Sveinbjörnsson oddviti Framsóknarflokks í Ísafjarðarbæ segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Okkur finnst gaman að dressa okkur upp í bæverska stemmningu , sagði Ásgeir Stefánsson , einn veislugesta .","Okkur finnst gaman að dressa okkur upp í bæverska stemmningu , Ásgeir Stefánsson , einn veislugesta sagði .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Ég reikna ekki með öðru , segir Sólveig Anna","Ég reikna ekki með öðru , Sólveig Anna segir",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Og það er það sem hræðir mig , segir hún .","Og það er það sem hræðir mig , hún segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"„ Við bara sjáum hvort það verður og þá hvað , “ segir Magnús Geir .","„ Við bara sjáum hvort það verður og þá hvað , “ Magnús Geir segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Hann sagði sig úr Breska alpaklúbbnum árið 1877 og eftir það hafa þeir engar upplýsingar um hann , segir Gerður .","Hann sagði sig úr Breska alpaklúbbnum árið 1877 og eftir það hafa þeir engar upplýsingar um hann , Gerður segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Okkar krafa er að hún fari á samningstímanum í 32 tíma , segir Björn .","Okkar krafa er að hún fari á samningstímanum í 32 tíma , Björn segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Það hefur kannski vantað upp á hjá okkur , “ segir Damir en Blikaliðið er aðeins búið að skora þrettán mörk .","Það hefur kannski vantað upp á hjá okkur , “ Damir segir en Blikaliðið er aðeins búið að skora þrettán mörk .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Amma var að gefa öllum hjónabandssælu og afi var að reyna að kenna þeim að borða hákarl , segir Unnar Helgi .","Amma var að gefa öllum hjónabandssælu og afi var að reyna að kenna þeim að borða hákarl , Unnar Helgi segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Ronaldinho og Deco komu fullir á æfingu , sagði Hleb um tíma sinn hjá félaginu .","Ronaldinho og Deco komu fullir á æfingu , Hleb um tíma sinn hjá félaginu sagði .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Hljómsveitin er náttúrlega að taka þátt í stórum sýningum eins og Lord of the Rings , þá voru þrennir tónleikar og bara í september á þessu ári tók sveitin þátt í átta viðburðum , sem er magnað og frábært fyrir hljóðfæraleikarana , segir Þorvaldur Bjarni .","Hljómsveitin er náttúrlega að taka þátt í stórum sýningum eins og Lord of the Rings , þá voru þrennir tónleikar og bara í september á þessu ári tók sveitin þátt í átta viðburðum , sem er magnað og frábært fyrir hljóðfæraleikarana , Þorvaldur Bjarni segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Þú nýtur þín bara , sagði forsetinn svo að lokum .","Þú nýtur þín bara , forsetinn sagði svo að lokum .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
"Það eru einhver hundruð , segir Pétur .","Það eru einhver hundruð , Pétur segir .",[0] -> [1] -> [2] -> [3] -> [4] -> [18] -> [19] -> [21]
