sen_str,swapped_sen_str,leaf_rule
">> Verjamem v taksen projekt , dali smo mu izrazito podporo .",">> Verjamem v taksen projekt , mu dali smo izrazito podporo .",[0] -> [16] -> [22]
"Dva meseca sem jo lovil , poznal sem jo le na videz , povedal sem ji , za kaj gre .","Dva meseca sem jo lovil , poznal sem jo le na videz , ji povedal sem , za kaj gre .",[0] -> [16] -> [22]
"Povedal mi je , da je "" neki njegov prijatelj "" na slovenskem notranjem ministrstvu zacel prodajati slovenske dokumente po 5000 mark .","mi Povedal je , da je "" neki njegov prijatelj "" na slovenskem notranjem ministrstvu zacel prodajati slovenske dokumente po 5000 mark .",[0] -> [16] -> [22]
"Pod vplivom bavarske CSU je lani evropski parlament pozval k preklicu Benesevih dekretov , pridruzil se mu je avstrijski parlament , nemski opozicijski stranki CDU in CSU pa sta na vlado v Berlinu naslovili peticijo , naj stori enako .","Pod vplivom bavarske CSU je lani evropski parlament pozval k preklicu Benesevih dekretov , mu pridruzil se je avstrijski parlament , nemski opozicijski stranki CDU in CSU pa sta na vlado v Berlinu naslovili peticijo , naj stori enako .",[0] -> [16] -> [22]
"Telefoniral sem mu , se dobil z njim in tako je nastal ta film .","mu Telefoniral sem , se dobil z njim in tako je nastal ta film .",[0] -> [16] -> [22]
"Namenili so mu dva bencinska motorja : 1,8 litra s 105 konji , dvolitrski pa ima dve odmicni gredi v glavi in 129 KM .","mu Namenili so dva bencinska motorja : 1,8 litra s 105 konji , dvolitrski pa ima dve odmicni gredi v glavi in 129 KM .",[0] -> [16] -> [22]
"Pridruzili so se jim se vragi in carovnice , ki so na svojih metlah vrsale po temnem zimskem nebu in poskusale skodovati ljudem in zivini .","jim Pridruzili so se se vragi in carovnice , ki so na svojih metlah vrsale po temnem zimskem nebu in poskusale skodovati ljudem in zivini .",[0] -> [16] -> [22]
Odleglo mi je .,mi Odleglo je .,[0] -> [16] -> [22]
>> Pojdite k njej in dala vam bo nekaj zame .,>> Pojdite k njej in vam dala bo nekaj zame .,[0] -> [16] -> [22]
"Raznezen nad zaupanjem in ocitno priljubljenostjo med Parizani je dal javno vedeti , da je stranki pac >> na voljo << , ce ga zeli za pariskega zupana , ponujal pa da se ji sam ne bo .","Raznezen nad zaupanjem in ocitno priljubljenostjo med Parizani je dal javno vedeti , da je stranki pac >> na voljo << , ce ga zeli za pariskega zupana , ji ponujal pa da se sam ne bo .",[0] -> [16] -> [22]
