sen_str,swapped_sen_str,leaf_rule
"На канцэрце выступяць зоркі мінскага андэграўнду і завітаюць актывісты Моладзевага Блока , якім у жывым эфіры можна будзе задаваць свае пытанні .","На канцэрце выступяць зоркі мінскага андэграўнду і завітаюць актывісты Моладзевага Блока , у жывым эфіры можна будзе задаваць якім свае пытанні .",[0] -> [22] -> [23] -> [33]
"Але тэмпературы , якой я мог бы апраўдаць сваю слабасьць , няма .","Але тэмпературы , я мог бы апраўдаць якой сваю слабасьць , няма .",[0] -> [22] -> [23] -> [33]
"Але ў першую чаргу , гэта гісторыя пра любоў , любоў да складанага і вар’яцкага жыцця , пра любоў , якая зусім не падобная на любоў у тым біблійным і ідэалістычнай сэнсе , якім часцей за ўсё надзяляюць гэтае слова .","Але ў першую чаргу , гэта гісторыя пра любоў , любоў да складанага і вар’яцкага жыцця , пра любоў , якая зусім не падобная на любоў у тым біблійным і ідэалістычнай сэнсе , часцей за ўсё надзяляюць якім гэтае слова .",[0] -> [22] -> [23] -> [33]
"Наш калега Ігар Карней пабываў у Суражы і нават пакатаўся на катэры , якому час ад часу ўдаецца пераплыць мелкаводную рэчку ( <a_href=""https://goo.gl/b03JJI""> https://goo.gl/b03JJI </a> ) .","Наш калега Ігар Карней пабываў у Суражы і нават пакатаўся на катэры , час ад часу ўдаецца якому пераплыць мелкаводную рэчку ( <a_href=""https://goo.gl/b03JJI""> https://goo.gl/b03JJI </a> ) .",[0] -> [22] -> [23] -> [33]
"Кожны ўдзельнік атрымае імя чалавека , якому будзе падбіраць падарунак .","Кожны ўдзельнік атрымае імя чалавека , будзе падбіраць якому падарунак .",[0] -> [22] -> [23] -> [33]
"Гэта была дзіцячая мара , якой я прысьвяціў 10 гадоў .","Гэта была дзіцячая мара , я прысьвяціў якой 10 гадоў .",[0] -> [22] -> [23] -> [33]
""" Арт Сядзібы "" распачынае конкурс , якім хоча матываваць тыктокераў здымаць відэа па-беларуску !",""" Арт Сядзібы "" распачынае конкурс , хоча якім матываваць тыктокераў здымаць відэа па-беларуску !",[0] -> [22] -> [23] -> [33]
"Людзі , якім не ўсё роўна – сёньня на плошчы , сказаў Някляеў .","Людзі , не ўсё якім роўна – сёньня на плошчы , сказаў Някляеў .",[0] -> [22] -> [23] -> [33]
"Арыштаваныя супрацоўнікі офіса МММ , якім ставіцца ў віну "" ажыццяўленне незаконных фінансавых аперацый і завалоданне грашовымі сродкамі беларускіх грамадзян шляхам падману "" .","Арыштаваныя супрацоўнікі офіса МММ , ставіцца якім ў віну "" ажыццяўленне незаконных фінансавых аперацый і завалоданне грашовымі сродкамі беларускіх грамадзян шляхам падману "" .",[0] -> [22] -> [23] -> [33]
"25 сакавіка 1918 года ў Менску Рада Беларускай Народнай Рэспублікі ( былы выканкам Усебеларускага з’езду ) прыняла Трэцюю ўстаўную грамату , якой БНР абвяшчалася вольнай і незалежнай дзяржавай .","25 сакавіка 1918 года ў Менску Рада Беларускай Народнай Рэспублікі ( былы выканкам Усебеларускага з’езду ) прыняла Трэцюю ўстаўную грамату , БНР абвяшчалася якой вольнай і незалежнай дзяржавай .",[0] -> [22] -> [23] -> [33]
"І толькі ў гэтым , ціхім , штодзённа самаахвярным гераізме калі-небудзь успыхне гучны гераізм , якому , у вызначаны дзень , Госпад дасьць перамогу .","І толькі ў гэтым , ціхім , штодзённа самаахвярным гераізме калі-небудзь успыхне гучны гераізм , , у вызначаны дзень , Госпад дасьць якому перамогу .",[0] -> [22] -> [23] -> [33]
"Як хаваць — не ўяўляю , мы з мамай у цяжкім стане , станоўчай дынамікі няма , пагадзіліся на экспэрымэнтальнае лячэньне прэпаратамі , якімі лечаць малярыю »","Як хаваць — не ўяўляю , мы з мамай у цяжкім стане , станоўчай дынамікі няма , пагадзіліся на экспэрымэнтальнае лячэньне прэпаратамі , лечаць якімі малярыю »",[0] -> [22] -> [23] -> [33]
"Калі каму трэба на другі бераг , трэба аб’яжджаць , кілямэтраў пад 70 .","Калі трэба каму на другі бераг , трэба аб’яжджаць , кілямэтраў пад 70 .",[0] -> [22] -> [23] -> [33]
"Мы высьветлілі , чым яны займаюцца і ці лёгка іх знайсьці .","Мы высьветлілі , яны займаюцца чым і ці лёгка іх знайсьці .",[0] -> [22] -> [23] -> [33]
"Дачка асуджанага Ганна Ільіна два гады зьбірае доказы невінаватасьці бацькі , якому прысудзілі тры гады калёніі ўзмоцненага рэжыму .","Дачка асуджанага Ганна Ільіна два гады зьбірае доказы невінаватасьці бацькі , прысудзілі якому тры гады калёніі ўзмоцненага рэжыму .",[0] -> [22] -> [23] -> [33]
"Салігорскія шахцёры знайшлі парэшткі ракаскарпіёна , якім 350 мільёнаў гадоў","Салігорскія шахцёры знайшлі парэшткі ракаскарпіёна , 350 мільёнаў гадоў якім",[0] -> [22] -> [23] -> [33]
"« Гэта ж…ы , якім так страшна страціць свой заробак у 300 баксаў » .","« Гэта ж…ы , так страшна якім страціць свой заробак у 300 баксаў » .",[0] -> [22] -> [23] -> [33]
"Народная пагудка : Лукашэнка пасадзіў Чыжа , каб схаваць яго ад расейцаў , якім ён завінаваціўся грошы ( <a_href=""http://goo.gl/RoCNB0""> http://goo.gl/RoCNB0 </a> ) .","Народная пагудка : Лукашэнка пасадзіў Чыжа , каб схаваць яго ад расейцаў , ён завінаваціўся якім грошы ( <a_href=""http://goo.gl/RoCNB0""> http://goo.gl/RoCNB0 </a> ) .",[0] -> [22] -> [23] -> [33]
"Або вы павінны быць уладальнікам гандлёвага імя , зарэгістраванага ў Андоры ( такі варыянт даступны толькі для рэзідэнтаў Андоры , якім ужо споўнілася 20 гадоў ) .","Або вы павінны быць уладальнікам гандлёвага імя , зарэгістраванага ў Андоры ( такі варыянт даступны толькі для рэзідэнтаў Андоры , ужо споўнілася якім 20 гадоў ) .",[0] -> [22] -> [23] -> [33]
"Ён не выключае , што празьмернае ўжываньне сілы дапускаюць тыя міліцыянты , якім трэба праявіць перад начальствам сваю ляяльнасьць са спадзевам на бонусы .","Ён не выключае , што празьмернае ўжываньне сілы дапускаюць тыя міліцыянты , трэба якім праявіць перад начальствам сваю ляяльнасьць са спадзевам на бонусы .",[0] -> [22] -> [23] -> [33]
