sen_str,swapped_sen_str,leaf_rule
"hän istahti vuoteen laidalle ja katsoi Annikkiin , yrittikö se vain pelästyttää häntä ?","hän istahti vuoteen laidalle ja katsoi Annikkiin , se yrittikö vain pelästyttää häntä ?",[0] -> [1] -> [5]
"Torstai-iltaisen tehotarkastuksen tavoitteena oli varmistaa , onko henkilökunta työnantajan kirjoilla .","Torstai-iltaisen tehotarkastuksen tavoitteena oli varmistaa , henkilökunta onko työnantajan kirjoilla .",[0] -> [1] -> [5]
"Matkaavatko he töiden jälkeen lähiöyksiöön , komeaan omakotitaloon vai kapakkaan ?","he Matkaavatko töiden jälkeen lähiöyksiöön , komeaan omakotitaloon vai kapakkaan ?",[0] -> [1] -> [5]
"Hollantilaiset opiskelijat eivät ole vielä päättäneet , kaupallistavatko he sähkömoottoripyöränsä .","Hollantilaiset opiskelijat eivät ole vielä päättäneet , he kaupallistavatko sähkömoottoripyöränsä .",[0] -> [1] -> [5]
Onko teillä huone tai haluatteko ottaa sellaisen ?,huone Onko teillä tai haluatteko ottaa sellaisen ?,[0] -> [1] -> [5]
"Tuleeko Tanyasta tähti , sen päättää kuitenkin yleisö .","Tanyasta Tuleeko tähti , sen päättää kuitenkin yleisö .",[0] -> [1] -> [5]
"− Oppivatko lapset nopeammin , ja miten on vanhenevien eläkeläisten laita ?","− lapset Oppivatko nopeammin , ja miten on vanhenevien eläkeläisten laita ?",[0] -> [1] -> [5]
Tuliko rautua ?,rautua Tuliko ?,[0] -> [1] -> [5]
"Jos tietokone pystyy keskustelemaan riittävän järkevästi , ei keskustelukumppani pysty sanomaan jutteleeko se tietokoneen vai oikean ihmisen kanssa .","Jos tietokone pystyy keskustelemaan riittävän järkevästi , ei keskustelukumppani pysty sanomaan se jutteleeko tietokoneen vai oikean ihmisen kanssa .",[0] -> [1] -> [5]
Onko Suomi idässä vai lännessä ?,Suomi Onko idässä vai lännessä ?,[0] -> [1] -> [5]
"Kahlaavatko he läpi elämän tietämättä , minkälaista seksiä itse haluavat , tai minkälaista seksiä kumppani haluaa , jos eivät osaa lukea sitä toistensa silmistä ja eleistä ?","he Kahlaavatko läpi elämän tietämättä , minkälaista seksiä itse haluavat , tai minkälaista seksiä kumppani haluaa , jos eivät osaa lukea sitä toistensa silmistä ja eleistä ?",[0] -> [1] -> [5]
Järjestelyosastolla olevia kalvaa ajatus saavatko he enää työpaikkaa .,Järjestelyosastolla olevia kalvaa ajatus he saavatko enää työpaikkaa .,[0] -> [1] -> [5]
Pelkäävätkö miehet omaa varjoaan .,miehet Pelkäävätkö omaa varjoaan .,[0] -> [1] -> [5]
"Minä en tiedä , syyttääkö se minua vaiko lohduttaa .","Minä en tiedä , se syyttääkö minua vaiko lohduttaa .",[0] -> [1] -> [5]
Kaipasitko sinä minua yhtään ?,sinä Kaipasitko minua yhtään ?,[0] -> [1] -> [5]
Saavatko työntekijät pitää uskonnollisia esineitä työpöydillään ?,työntekijät Saavatko pitää uskonnollisia esineitä työpöydillään ?,[0] -> [1] -> [5]
Saako itse pistää pannulle ?,itse Saako pistää pannulle ?,[0] -> [1] -> [5]
"Jos oli , kysyi tämä heiltä , osaisivatko he pelata biljardia .","Jos oli , kysyi tämä heiltä , he osaisivatko pelata biljardia .",[0] -> [1] -> [5]
Tunnetko sinä tätä miestä ?,sinä Tunnetko tätä miestä ?,[0] -> [1] -> [5]
Onko tulta ?,tulta Onko ?,[0] -> [1] -> [5]
Tietäneekö kukaan esimerkiksi kuinka suuri syyllinen lamaan oli MTK:n järjestämä puolentoista vuoden puunmyyntilakko ?,kukaan Tietäneekö esimerkiksi kuinka suuri syyllinen lamaan oli MTK:n järjestämä puolentoista vuoden puunmyyntilakko ?,[0] -> [1] -> [5]
