sen_str,swapped_sen_str,leaf_rule
وہ یہ بھی چاہتا ہے کہ کناڈا اس کے ہنرمند لوگوں کو لے کر مال بنانے والی اکائیاں قائم کرے یا ہندوستان مےں مشترکہ مہمات شروع کرے ۔,وہ یہ بھی چاہتا ہے کہ اس کے ہنرمند لوگوں کو لے کر مال بنانے والی اکائیاں قائم کرے کناڈا یا ہندوستان مےں مشترکہ مہمات شروع کرے ۔,[0] -> [1]
اس لئے انہیں ذمہ_دارانہ مظاہرہ کرنا چاہیے ۔,اس لئے ذمہ_دارانہ مظاہرہ کرنا انہیں چاہیے ۔,[0] -> [1]
فلاحی اسکیمات کا ذکر کرتے ہوئے جوائنٹ کلکٹر نے متعلقہ عہدیداروں کو اس بات کی ہدایت دی کہ وہ حکومت کی جانب سے شروع_کردہ اسکیمات سے عوام کو مستفید ہونے کے مواقع فراہم کریں اور اس سلسلہ مےں جو بھی رکاوٹیں پیش آئیں ان کو دور کرنے کی کوشش کریں ۔,فلاحی اسکیمات کا ذکر کرتے ہوئے جوائنٹ کلکٹر نے متعلقہ عہدیداروں کو اس بات کی ہدایت دی کہ وہ حکومت کی جانب سے شروع_کردہ اسکیمات سے مستفید ہونے عوام کو کے مواقع فراہم کریں اور اس سلسلہ مےں جو بھی رکاوٹیں پیش آئیں ان کو دور کرنے کی کوشش کریں ۔,[0] -> [1]
"مالیگاؤں دھماکے مےں زعفرانی دہشت_گردوں کے ملوث ہونے بعض میڈیا گروپس کے انکشاف کے بعد مسلم قائدین نے کوئی لب_کشائی نہیں کی تھی , کیونکہ انہیں ڈر تھا کہ اگر وہ کچھ کہیں تو صدر کانگریس سونیا گاندھی سے پھٹکار پڑ سکتی ہے ۔","مالیگاؤں دھماکے مےں ملوث ہونے زعفرانی دہشت_گردوں کے بعض میڈیا گروپس کے انکشاف کے بعد مسلم قائدین نے کوئی لب_کشائی نہیں کی تھی , کیونکہ انہیں ڈر تھا کہ اگر وہ کچھ کہیں تو صدر کانگریس سونیا گاندھی سے پھٹکار پڑ سکتی ہے ۔",[0] -> [1]
انہوں نے کہا کہ ایسا معاہدہ حماس کو مغربی کنارہ پر بھی برسر اقتدار آنے کا موقع فراہم کرےگا جو فلسطینی اتھاریٹی کا ہیڈکوارٹر ہے ۔,انہوں نے کہا کہ حماس کو مغربی کنارہ پر بھی برسر اقتدار آنے کا موقع فراہم کرےگا ایسا معاہدہ جو فلسطینی اتھاریٹی کا ہیڈکوارٹر ہے ۔,[0] -> [1]
سرکاری ہاسپٹل تانڈور مےں دس روز قبل اےک سنسنی_خیز واقعہ پیش آیا جس کے نتیجہ مےں اےک غریب اور بےبس ماں باپ اولاد سے محروم ہو گئے ۔,سرکاری ہاسپٹل تانڈور مےں دس روز قبل اےک سنسنی_خیز واقعہ پیش آیا جس کے نتیجہ مےں اولاد سے محروم ہو اےک غریب اور بےبس ماں باپ گئے ۔,[0] -> [1]
"اور لفظ '' عاجز '' کا استعمال اس لیے کرنا چاہیے کہ ارشاد ہوتا ہے '' عقلمند وہ ( شخص ) ہے , جو جانچ لے اپنے نفس کو اور اس کے لیے عمل کرے جو کہ موت کے بعد ہے '' اور پھر آگے فرمایا کہ '' عاجز وہ ہے , جس نے اپنی خواہشات کی اتباع کی '' ۔","اور لفظ '' عاجز '' کا استعمال اس لیے کرنا چاہیے کہ ارشاد ہوتا ہے '' عقلمند وہ ( شخص ) ہے , جو جانچ لے اپنے نفس کو اور اس کے لیے عمل کرے جو کہ موت کے بعد ہے '' اور پھر آگے فرمایا کہ '' عاجز وہ ہے , اپنی خواہشات کی اتباع کی جس نے '' ۔",[0] -> [1]
"25 سال قبل حلقہ دوماٹ کی ایرینی لنگا نے آخری مرتبہ کانگریس پارٹی کی جانب سے نمائندگی کی تھی , جو اب جدید حدبندی کے بعد حلقہ اسمبلی دوباک میں تبدیل ہو گیا ہے -","25 سال قبل حلقہ دوماٹ کی ایرینی لنگا نے آخری مرتبہ کانگریس پارٹی کی جانب سے نمائندگی کی تھی , اب جدید حدبندی کے بعد حلقہ اسمبلی دوباک میں تبدیل ہو جو گیا ہے -",[0] -> [1]
"انہوں نے کہا تھا کہ سب سے بڑا خطرہ یہ ہے کہ ایران ایک نیوکلیر توانائی کا حامل ملک بن کر ابھر سکتا ہے , جس کی دفاعی طاقت میں بھی قابل لحاظ اضافہ ہوگا -","انہوں نے کہا تھا کہ سب سے بڑا خطرہ یہ ہے کہ ایران ایک نیوکلیر توانائی کا حامل ملک بن کر ابھر سکتا ہے , جس کی دفاعی طاقت میں بھی ہوگا قابل لحاظ اضافہ -",[0] -> [1]
"ہوا , پانی اور غذا کے ذریعہ کیڈمیم کی جو زائد مقدار جسم مےں داخل ہوتی ہے اس سے پھیپڑے اور خون کا نظام متاثر ہونے کے علاوہ بلڈ پریشر بھی بڑھ جاتا ہے ۔","ہوا , پانی اور غذا کے ذریعہ جسم مےں داخل ہوتی کیڈمیم کی جو زائد مقدار ہے اس سے پھیپڑے اور خون کا نظام متاثر ہونے کے علاوہ بلڈ پریشر بھی بڑھ جاتا ہے ۔",[0] -> [1]
